,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
17,10213,28.0,4.8,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,27,20002.520257028576
18,43294,32.0,4.6,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,30,20002.52025702837
19,25350,25.0,4.9,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520257028355
20,30033,32.0,3.8,Sandstorms,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,43,20002.520257028355
21,9439,30.0,4.9,Windy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,46,20002.520257028125
22,42531,23.0,4.1,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,18,20002.520257028125
23,39375,32.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Urban,49,20002.520257028125
24,40273,35.0,4.7,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,17,20002.520257027973
25,6976,37.0,4.6,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,18,20002.520257027798
26,28681,27.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,15,20002.520257027798
27,285,22.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,Urban,22,20002.520257027798
28,28757,37.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,33,20002.520257027798
29,39570,34.0,5.0,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.520257023803
30,6178,38.0,4.8,Fog,High,1,Snack,scooter,1.0,No,Metropolitian,28,20002.520257023803
31,26352,20.0,4.3,Cloudy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,31,20002.520257023803
32,24841,24.0,5.0,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.520257023803
33,6297,,,,,1,Meal,scooter,2.0,No,Urban,36,20002.520257019383
34,27101,33.0,3.7,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,41,20002.520257019383
35,2726,23.0,4.8,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,16,20002.520257017437
36,16915,36.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.520257017437
37,26155,31.0,4.6,Windy,Medium,1,Drinks,scooter,0.0,No,,25,20002.520257017288
38,39335,28.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.520257017288
39,21290,31.0,4.5,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,19,20002.520257017288
40,26868,32.0,4.6,Cloudy,Jam,2,Drinks,scooter,2.0,No,Urban,48,20002.520257017288
41,33355,26.0,4.5,Cloudy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,27,20002.52025699965
42,24715,38.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,28,20002.520256255022
43,38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.52025624634
44,39761,25.0,4.6,Cloudy,Low,2,Drinks,scooter,,No,Metropolitian,18,20002.52025624634
45,44381,,,,,1,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.52025624097
46,28380,28.0,5.0,Fog,High,2,Meal,scooter,1.0,No,Metropolitian,25,20002.52025624097
47,19842,31.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Urban,20,20002.520256238895
48,1332,28.0,4.6,Fog,Low,0,Drinks,motorcycle,0.0,No,Urban,24,20002.520256238895
49,45133,35.0,4.3,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,46,20002.520256236596
50,8970,33.0,4.6,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Urban,40,20002.520256236596
51,3570,20.0,4.0,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520256236596
52,30130,26.0,4.7,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,41,20002.520256217802
53,28973,30.0,4.8,Sunny,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,19,20002.520256217802
54,44032,35.0,4.6,Sunny,High,2,Drinks,scooter,1.0,No,Metropolitian,18,20002.520256211184
55,31820,,,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.520256211184
56,5029,27.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,17,20002.520256211184
57,29668,31.0,5.0,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,25,20002.520256208547
58,25067,27.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520256208547
59,11431,31.0,4.4,Windy,Jam,2,Meal,scooter,1.0,No,Urban,32,20002.520256208547
60,9716,38.0,4.6,Fog,Jam,1,Meal,scooter,2.0,No,Metropolitian,46,20002.520256200485
61,18846,22.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.520256200485
62,37933,39.0,4.6,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,31,20002.52025619676
63,5137,29.0,4.6,Stormy,Jam,2,Snack,motorcycle,,No,Metropolitian,24,20002.52025619676
64,36353,27.0,4.6,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,19,20002.52025619676
65,15905,38.0,4.5,Sunny,High,2,Snack,scooter,0.0,No,Urban,22,20002.52025619676
66,45258,23.0,4.4,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.52025619003
67,17386,20.0,4.8,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.52025619003
68,34433,32.0,4.7,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,20002.52025619003
69,23878,24.0,5.0,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.520256189728
70,44735,35.0,4.9,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.520256189728
71,15995,38.0,4.8,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,26,20002.520256177275
72,22634,,,,,3,Meal,electric_scooter,1.0,No,Semi-Urban,48,20002.520256177275
73,27327,26.0,4.8,Fog,High,0,Meal,motorcycle,0.0,No,Urban,25,20002.520256177275
74,10635,28.0,4.2,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,31,20002.520251727365
75,32277,31.0,4.5,Stormy,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,20,20002.520251719383
76,41276,23.0,4.9,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,14,20002.520251676986
77,21883,26.0,4.7,Windy,Jam,1,Buffet,scooter,,No,Metropolitian,14,20002.520251676986
78,13368,24.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.5202516745
79,2348,28.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.5202516745
80,7785,29.0,4.7,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Urban,14,20002.5202516745
81,41959,22.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Urban,20,20002.5202516745
82,27924,35.0,3.6,Stormy,Jam,2,Drinks,motorcycle,,No,,35,20002.5202516745
83,28262,37.0,4.6,Cloudy,Jam,1,Snack,motorcycle,0.0,No,Urban,38,20002.5202516745
84,1587,,,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,20,20002.5202516745
85,22427,20.0,4.9,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520251672508
86,39990,33.0,4.2,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,47,20002.520251672508
87,41434,20.0,4.5,Cloudy,Low,1,Snack,motorcycle,0.0,No,Urban,12,20002.520251672293
88,38738,31.0,4.2,Stormy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,36,20002.520251672293
89,26985,30.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520251672246
90,24440,22.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Urban,42,20002.520251672246
91,1517,39.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251671245
92,19732,22.0,4.6,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251671245
93,31892,21.0,4.5,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,24,20002.520251671245
94,16141,32.0,4.7,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,39,20002.520251671245
95,20326,38.0,4.6,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.520251671107
96,33969,30.0,4.0,Windy,High,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.520251671107
97,8150,26.0,5.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251669677
98,38865,22.0,4.6,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,20002.520251669677
99,45353,20.0,4.7,Cloudy,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.520251668342
100,37698,35.0,4.9,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Urban,19,20002.520251668342
101,38771,36.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,17,20002.520251668342
102,1810,36.0,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251666898
103,15965,29.0,4.9,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Urban,16,20002.520251666898
104,15274,33.0,5.0,Stormy,Low,1,Drinks,scooter,1.0,No,Urban,21,20002.520251666898
105,13525,38.0,5.0,Cloudy,High,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.52025139077
106,5614,34.0,4.3,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,20002.52025139077
107,6838,20.0,4.8,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,22,20002.52025139077
108,9305,37.0,3.5,Stormy,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,38,20002.52025139077
109,6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
110,34785,29.0,4.8,Stormy,Jam,1,Snack,motorcycle,1.0,No,Urban,25,20002.52025139077
111,1421,38.0,4.5,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.52025139077
112,41497,24.0,4.3,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.52025139077
113,41368,38.0,4.8,Stormy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,24,20002.52025139077
114,43536,37.0,4.4,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.52025139077
115,864,37.0,5.0,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,18,20002.520251342885
116,42046,34.0,4.8,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,26,20002.520251342885
117,18575,25.0,4.9,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,31,20002.520251342885
118,39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520251342885
119,17219,33.0,4.4,Cloudy,Jam,1,Snack,motorcycle,1.0,No,,32,20002.520251342885
120,1028,29.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.520251342885
121,38181,31.0,5.0,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520251342885
122,23338,39.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Urban,17,20002.520251342885
123,1315,32.0,4.6,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,37,20002.520251332953
124,8006,28.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
125,30894,25.0,4.7,Sandstorms,High,1,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520251332953
126,13959,37.0,4.9,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,11,20002.520251332953
127,42204,20.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520251332953
128,43654,38.0,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.520251332953
129,44430,34.0,4.8,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520251332953
130,39250,33.0,4.7,Windy,High,0,Meal,motorcycle,1.0,No,Urban,36,20002.520251332953
131,18775,28.0,4.6,Cloudy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,22,20002.520251332953
132,15765,20.0,4.6,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,10,20002.520251332953
133,602,26.0,5.0,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,10,20002.520251332953
134,44240,36.0,4.5,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520251332953
135,12514,32.0,4.6,Stormy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,19,20002.520251332742
136,37971,35.0,5.0,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520251332742
137,2134,32.0,4.4,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520251332742
138,36523,26.0,4.5,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,13,20002.520251332742
139,39869,,,Cloudy,Low,2,Meal,electric_scooter,,No,Metropolitian,32,20002.520251332742
140,10863,28.0,4.3,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.520251332742
141,35388,22.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,22,20002.520251332742
142,42224,26.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.520251332742
143,20195,24.0,5.0,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.520251332742
144,1137,28.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520251332742
145,31124,22.0,4.7,Fog,Low,2,Snack,scooter,0.0,No,Metropolitian,18,20002.520251332055
146,18021,23.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520251332055
147,32802,25.0,4.6,Stormy,Jam,1,Buffet,scooter,0.0,No,,22,20002.520251332055
148,7705,29.0,4.5,Cloudy,Medium,2,Meal,electric_scooter,0.0,No,Urban,18,20002.520251332055
149,10917,33.0,4.6,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,24,20002.520251332055
150,32562,32.0,4.8,Cloudy,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,46,20002.520251332055
151,33331,25.0,4.9,Windy,Jam,2,Meal,scooter,0.0,No,,15,20002.520251332055
152,29091,30.0,5.0,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,32,20002.520251332055
153,38783,22.0,4.5,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.520251332055
154,14541,34.0,4.9,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520251332055
155,7792,30.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332055
156,16848,39.0,4.9,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,32,20002.520251332055
157,15861,21.0,4.9,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251332055
158,12063,,,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251329926
159,7496,21.0,4.9,Windy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.520251329926
160,943,33.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,35,20002.520251329926
161,42033,31.0,4.6,Cloudy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,16,20002.520251329926
162,1881,31.0,4.5,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,29,20002.520251329926
163,32427,28.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41,20002.520251329926
164,3819,37.0,4.6,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,27,20002.520251329926
165,13391,23.0,4.9,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,17,20002.520251329926
166,20635,23.0,4.7,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251329926
167,22557,25.0,4.5,Sunny,High,2,Buffet,electric_scooter,1.0,No,,19,20002.520251329926
168,43012,23.0,4.8,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,31,20002.520251329926
169,21057,34.0,4.5,Fog,High,1,Meal,scooter,1.0,No,Metropolitian,30,20002.520251329177
170,14883,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.520251329177
171,4107,25.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520251329177
172,22647,27.0,4.5,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,19,20002.520251329177
173,32385,36.0,3.7,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,35,20002.520251329177
174,4772,27.0,4.9,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,14,20002.520251329177
175,3708,27.0,4.6,Fog,Jam,1,Snack,scooter,2.0,No,Metropolitian,41,20002.520251329177
176,41792,24.0,4.6,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.520251329177
177,29534,37.0,4.7,Cloudy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,44,20002.520251329177
178,26229,24.0,4.6,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.520251329177
179,43184,39.0,4.6,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,29,20002.520251329177
180,17668,23.0,4.6,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,14,20002.520251329177
181,8307,20.0,4.9,Stormy,Jam,2,Drinks,scooter,1.0,No,Urban,28,20002.520251327653
182,24816,27.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.520251327653
183,33185,26.0,4.8,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,20002.520251327653
184,22261,31.0,4.8,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.520251327653
185,13252,39.0,4.7,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251327653
186,26930,35.0,5.0,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,,36,20002.520251327653
187,42149,34.0,5.0,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,15,20002.520251327653
188,22312,33.0,4.9,Sandstorms,Jam,1,Meal,motorcycle,,No,Metropolitian,26,20002.520251327653
189,6067,29.0,2.9,Sunny,Low,2,Meal,motorcycle,2.0,No,Metropolitian,43,20002.520251327653
190,3987,27.0,4.6,Stormy,Low,2,Meal,electric_scooter,0.0,No,Urban,10,20002.520251327653
191,27394,27.0,4.2,Fog,Jam,2,Snack,motorcycle,0.0,No,Urban,32,20002.520251320853
192,22459,,,Cloudy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,33,20002.520251320853
193,23462,31.0,4.9,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251320853
194,3400,38.0,4.7,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,47,20002.520251320853
195,41928,36.0,4.6,Cloudy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,41,20002.520251320853
196,26407,32.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.520251320853
197,44674,27.0,4.9,Stormy,High,1,Meal,scooter,0.0,No,Urban,21,20002.520251320853
198,18467,22.0,4.7,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251320853
199,40404,31.0,4.6,Fog,Low,0,Snack,motorcycle,2.0,No,Metropolitian,42,20002.520251320853
200,20151,24.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,14,20002.520251320853
201,42971,22.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,13,20002.520251320853
202,18708,32.0,4.7,Windy,Jam,0,Snack,motorcycle,2.0,No,Urban,41,20002.520251320853
203,7677,28.0,5.0,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,19,20002.520251320722
204,39491,23.0,4.9,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,20,20002.520251320722
205,22705,24.0,5.0,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251320722
206,20643,34.0,4.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,40,20002.520251320722
207,1294,37.0,4.4,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,44,20002.520251320722
208,10344,36.0,4.1,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.520251320722
209,14937,36.0,4.9,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.520251320722
210,21322,29.0,4.9,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251320722
211,4298,28.0,4.9,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,20002.520251320722
212,27079,24.0,4.7,Stormy,Jam,1,Snack,scooter,1.0,No,Urban,24,20002.520251320722
213,30756,32.0,4.5,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251320722
214,30749,23.0,4.3,Fog,Jam,1,Drinks,motorcycle,2.0,No,Urban,44,20002.52025131765
215,41402,31.0,4.1,Stormy,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,46,20002.52025131765
216,16286,20.0,4.8,Fog,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,48,20002.52025131765
217,25864,15.0,1.0,,,3,Drinks,scooter,0.0,No,Metropolitian,27,20002.52025131765
218,43490,29.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,20002.52025131765
219,3609,24.0,4.6,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.52025131765
220,23097,31.0,4.7,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,37,20002.52025131765
221,25684,38.0,4.9,Fog,High,2,Meal,scooter,0.0,No,Metropolitian,28,20002.52025131765
222,44087,37.0,5.0,Fog,High,1,Buffet,scooter,2.0,No,Metropolitian,34,20002.52025131765
223,7451,28.0,3.5,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,35,20002.52025131765
224,20702,23.0,4.7,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,20002.52025131765
225,10950,26.0,4.7,Stormy,Medium,1,Snack,scooter,0.0,No,Metropolitian,20,20002.52025131765
226,14789,31.0,4.4,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.520251317605
227,22062,21.0,4.9,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.520251317605
228,17797,22.0,4.8,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,16,20002.520251317605
229,29416,38.0,4.9,Windy,High,1,Drinks,motorcycle,1.0,No,Urban,34,20002.520251317605
230,4433,37.0,4.7,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,21,20002.520251317605
231,42250,37.0,4.3,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,34,20002.520251317605
232,1093,33.0,4.1,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.520251317605
233,25609,39.0,4.9,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.520251317605
234,39676,37.0,4.6,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,48,20002.520251316964
235,2315,,,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,10,20002.520251316964
236,22952,35.0,4.7,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Urban,29,20002.520251316964
237,38659,39.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520251316964
238,33893,20.0,4.9,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,16,20002.520251316964
239,25270,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520251316964
240,29730,34.0,4.8,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,24,20002.520251316964
241,25421,28.0,4.5,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520251316964
242,22699,20.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.520251316964
243,35998,29.0,4.9,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,21,20002.520251316815
244,22541,38.0,4.9,Fog,Medium,1,Drinks,scooter,1.0,No,Urban,17,20002.520251316815
245,25958,20.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520251316815
246,936,30.0,3.7,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,20002.520251316815
247,16500,31.0,4.9,Sunny,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520251316815
248,32433,39.0,4.8,Fog,High,2,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.520251316815
